0x2483f5fb7e8fe915f8e540e9abdfbba34a86f4c6,,Babbys,BABBY,18
0x0d3d809b6a5be6b112824756101db125bbfeb685,,Gnosis Network Token,Gnosis,18
0x3e3cda3218212503883c79f6d2feef29e6bbb87d,,GpyxToken,GPYX,18
0x88536c9b2c4701b8db824e6a16829d5b5eb84440,,Universal Store of Value,USV,9
0x410e731c2970dce3add351064acf5ce9e33fdbf0,,Onbuff Token,ONIT,18
0x725c263e32c72ddc3a19bea12c5a0479a81ee688,,Bridge Mutual,BMI,18
0xb6f9044b544c8b86fcfa410d612336e340945ee9,,FIM Internet Money,FAKE,18
0x1ef94493e7cfc8559746f515d8229f1143bbdb37,,DoKwonInu,DKI,18
0x622236bb180256b6ae1a935dae08dc0356141632,,Mirror Write Token,WRITE,18
0xe6b055abb1c40b6c0bf3a4ae126b6b8dbe6c5f3f,,MIREN,REN,18
0x420bf5bb9170dab9b7e619977bcf584671bfa168,,Dogenerator,PUG,18
0xe57425f1598f9b0d6219706b77f4b3da573a3695,,BitcoinBR,BTCBR,18
0xcc91875714f044a1033b9d3215719bb8ff3f26c8,,ChargeV2,ChargeV2,18
0xaf92f11faec382a7949710ddc0d4caaaa39cb4f9,,A&BCoin,A&B,18
0x4575f41308ec1483f3d399aa9a2826d74da13deb,,Orchid,OXT,18
0xe7da1d8327ae1f320bbc23ca119b02ad3f85dceb,,BlackDAO,BLKD,9
0xf7188fabc798d89eac5259fbb0bc9f3505430eaf,,GOATSOUP,GSOUP,18
0xcb2286d9471cc185281c4f763d34a962ed212962,,SushiSwap LP Token,SLP,18
0x2ca6610c8f915d21650750dba00dce71fba7c2e9,,BNB Bull,BNBB,18
0xae78736cd615f374d3085123a210448e74fc6393,,Rocket Pool ETH,rETH,18
0x63aa9d05c025279f8e963ba784f1254814c1e12b,,Sandbox Land Standard,SBLAND,18
0xa5b947687163fe88c3e6af5b17ae69896f4abccf,,Poseidon - H2O Governance Token,PSDN,18
0xbc194e6f748a222754c3e8b9946922c09e7d4e91,,Lever Token,LEV,18
0x6a091a3406e0073c3cd6340122143009adac0eda,,SushiSwap LP Token,SLP,18
0x16ba8efe847ebdfef99d399902ec29397d403c30,,Oh! Finance,OH,18
0x07bfc92bcc5f2edca636a8a5b12d69b60f59795d,,RaceDAO,RACE,18
0x047275256b3528463476fdeca97e3806493a61eb,,CinDeRella,CDR,18
0x3ed952980aab18d1aa890c378b9d651101abfa13,,Aspra,ASPR,18
0x98968f0747e0a261532cacc0be296375f5c08398,,MoonCats,MOONCAT,18
0xa1d6df714f91debf4e0802a542e13067f31b8262,,RFOX,RFOX,18
0xdcdc1c1cc33aa817cbdbe8f5e2390bf7cc43dc4b,,Avastars,AVASTR,18
0x27ffed7e5926fb2795fc85aaab558243f280a8a2,,Punk-Female,PUNK-FEMALE,18
0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,,FTT,FTX Token,18
0x409a228b4102fd5d73d9ecb24c13eea00ad35dd5,,Minecraft Blocks,MINE,18
0x92ec47df1aa167806dfa4916d9cfb99da6953b8f,,Idavoll Network,IDV,18
0xe7069e147cd7085abb493f7990c684029deadcdd,,JuraToken,JRE,18
0xbf4a2ddaa16148a9d0fa2093ffac450adb7cd4aa,,Ethereum Money,ETHMNY,2
0x054d64b73d3d8a21af3d764efd76bcaa774f3bb2,,Plasma,PPAY,18
0x83984d6142934bb535793a82adb0a46ef0f66b6d,,REMME token,REM,4
0x108a850856db3f85d0269a2693d896b394c80325,,THORWallet Governance Token,TGT,18
0x1f735f84b07cc20e9ac471c291a87b5a2428d518,,Deepbrainchain Token,DBC,15
0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,,Meta,MTA,18
0x6509f9cdcd547b06482fc79209c71c7c7493d5f1,,QWERT,QWER,18
0xa693b19d2931d498c5b318df961919bb4aee87a5,,UST,UST,6
0x6336d88238075052eb79197c3283e579f0156e48,,Furballs,FUR,18
0xc5bddf9843308380375a611c18b50fb9341f502a,,veCRV-DAO yVault,yveCRV-DAO,18
